"Experiment","Date","Cage.ID","Location","Tag","Fullness","Digestion","Contents.Weight","Prey.Taxa","LH.Stage","Count","Taxa Weight","Comments","Taxa","Mesh","tlc"
NA,2019-11-07,"C","YB.Fall","32",3,5,0.0011,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"32 YB.Fall C"
NA,2019-11-07,"B","YB.Fall","24",1,1,0,"EMPTY",NA,0,NA,NA,"empty",NA,"24 YB.Fall B"
NA,2019-11-07,"B","YB.Fall","25",1,1,0,"EMPTY",NA,0,NA,NA,"empty",NA,"25 YB.Fall B"
NA,2019-11-07,"A","YB.Fall","1",3,5,0.0019,"Hyallela azteca","undetermined",5,NA,NA,"Amphipod",NA,"1 YB.Fall A"
NA,2019-11-07,"A","YB.Fall","2",3,5,0,"Gammaridea","undetermined",1,FALSE,"not a whole animal","Amphipod",NA,"2 YB.Fall A"
NA,2019-11-06,"A","RV.Fall","12",2,6,0,"Pseudodiaptomus forbesi","adult",2,FALSE,NA,"Calanoid",NA,"12 RV.Fall A"
NA,2019-11-06,"B","RV.Fall","17",2,6,0,"Pseudodiaptomus forbesi","adult",4,FALSE,NA,"Calanoid",NA,"17 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","16",2,5,2e-04,"Pseudodiaptomus forbesi","adult",5,NA,NA,"Calanoid",NA,"16 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","16",2,5,2e-04,"Pseudodiaptomus forbesi","copepodid",1,NA,NA,"Calanoid",NA,"16 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","16",2,5,2e-04,"Diaphanosoma sp.","undetermined",2,NA,NA,"Cladocera",NA,"16 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","16",2,5,2e-04,"Gammaridea","undetermined",1,NA,"very ripped apart","Amphipod",NA,"16 RV.Fall B"
NA,2019-11-07,"B","YB.Fall","19",2,4,0,"Hyallela azteca","undetermined",1,FALSE,NA,"Amphipod",NA,"19 YB.Fall B"
NA,2019-11-07,"C","YB.Fall","38",3,5,0.007,"Hyallela azteca","undetermined",3,NA,NA,"Amphipod",NA,"38 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","34",3,5,0.0023,"Hyallela azteca","undetermined",4,NA,NA,"Amphipod",NA,"34 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","34",3,5,0.0023,"Chironomidae","pupae",1,NA,NA,"Diptera",NA,"34 YB.Fall C"
NA,2019-11-07,"B","YB.Fall","17",3,5,0.0018,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"17 YB.Fall B"
NA,2019-11-07,"B","YB.Fall","22",3,5,0.0018,"Ostracoda","undetermined",1,NA,NA,"Ostracod",NA,"22 YB.Fall B"
NA,2019-11-07,"B","YB.Fall","22",3,5,0.0018,"Acanthocyclops sp.","adult",1,NA,NA,"Cyclopoid",NA,"22 YB.Fall B"
NA,2019-11-07,"B","YB.Fall","22",3,5,0.0018,"Hyallela azteca","undetermined",2,NA,NA,"Amphipod",NA,"22 YB.Fall B"
NA,2019-11-07,"C","YB.Fall","35",4,5,0.0064,"Hyallela azteca","undetermined",8,NA,NA,"Amphipod",NA,"35 YB.Fall C"
NA,2019-11-07,"B","YB.Fall","21",2,5,3e-04,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"21 YB.Fall B"
NA,2019-11-07,"B","YB.Fall","37",4,5,0.0048,"Hyallela azteca","undetermined",6,NA,"stomach lining","Amphipod",NA,"37 YB.Fall B"
NA,2019-11-06,"C","RV.Fall","40",2,6,0,"Pseudodiaptomus forbesi","adult",1,FALSE,NA,"Calanoid",NA,"40 RV.Fall C"
NA,2019-11-07,"C","YB.Fall","31",3,5,0.0035,"Hyallela azteca","undetermined",3,NA,NA,"Amphipod",NA,"31 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","31",3,5,0.0035,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"31 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","31",3,5,0.0035,"Pseudodiaptomus forbesi","adult",1,NA,NA,"Calanoid",NA,"31 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","31",3,5,0.0035,"Acanthocyclops sp.","adult",1,NA,NA,"Cyclopoid",NA,"31 YB.Fall C"
NA,2019-11-07,"A","YB.Fall","3",3,5,0.0025,"Hyallela azteca","undetermined",3,NA,NA,"Amphipod",NA,"3 YB.Fall A"
NA,2019-11-07,"A","YB.Fall","23",2,5,8e-04,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"23 YB.Fall A"
NA,2019-11-07,"C","YB.Fall","33",1,1,0,"EMPTY",NA,0,NA,NA,"empty",NA,"33 YB.Fall C"
NA,2019-11-06,"B","RV.Fall","18",2,5,9e-04,"Pseudodiaptomus forbesi","adult",5,NA,NA,"Calanoid",NA,"18 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","18",2,5,9e-04,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"18 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","18",2,5,9e-04,"Diacyclops thomasi","adult",1,NA,NA,"Cyclopoid",NA,"18 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","18",2,5,9e-04,"Diacyclops thomasi","copepodid",2,NA,NA,"Cyclopoid",NA,"18 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","18",2,5,9e-04,"Eurytemora affinis","copepodid",2,NA,NA,"Calanoid",NA,"18 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","18",2,5,9e-04,"Gammaridea","undetermined",1,NA,"body parts","Amphipod",NA,"18 RV.Fall B"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Daphnia sp.",NA,3,NA,NA,"Cladocera",NA,"33 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Harpacticoida",NA,4,NA,NA,"Harpacticoid",NA,"33 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Acanthocyclops sp.","adult",19,NA,NA,"Cyclopoid",NA,"33 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Acanthocyclops sp.","copepodid",26,NA,NA,"Cyclopoid",NA,"33 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Eurytemora affinis","adult",8,NA,NA,"Calanoid",NA,"33 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Eurytemora affinis","copepodid",1,NA,NA,"Calanoid",NA,"33 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","33",3,5,0.0021,"Cyclopoida","copepodid",12,NA,NA,"Cyclopoid",NA,"33 SM.Fall C"
NA,2019-11-06,"A","RV.Fall","2",3,5,0.0038,"Eogammarus confervicolus","copepodid",1,NA,NA,"Amphipod",NA,"2 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","2",3,5,0.0038,"Chironomidae","pupae",1,NA,NA,"Diptera",NA,"2 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","2",3,5,0.0038,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"2 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","2",3,5,0.0038,"Gammaridea","undetermined",1,NA,NA,"Amphipod",NA,"2 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","2",3,5,0.0038,"Pseudodiaptomus forbesi","adult",2,NA,NA,"Calanoid",NA,"2 RV.Fall A"
NA,2019-11-06,"C","RV.Fall","31",2,5,0,"Ceriodaphnia sp.","undetermined",1,FALSE,NA,"Cladocera",NA,"31 RV.Fall C"
NA,2019-11-07,"A","SM.Fall","7",5,5,0.0025,"Acanthocyclops sp.","copepodid",27,NA,NA,"Cyclopoid",NA,"7 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","7",5,5,0.0025,"Acanthocyclops sp.","adult",18,NA,NA,"Cyclopoid",NA,"7 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","7",5,5,0.0025,"Eurytemora affinis","copepodid",6,NA,NA,"Calanoid",NA,"7 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","7",5,5,0.0025,"Eurytemora affinis","adult",5,NA,NA,"Calanoid",NA,"7 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","7",5,5,0.0025,"Cyclopoida","copepodid",14,NA,NA,"Cyclopoid",NA,"7 SM.Fall A"
NA,2019-11-06,"C","RV.Fall","39",2,5,0,"Pseudodiaptomus forbesi","adult",5,NA,NA,"Calanoid",NA,"39 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","39",2,5,0,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"39 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","39",2,5,0,"Bosmina sp.","undetermined",1,NA,NA,"Cladocera",NA,"39 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","39",2,5,0,"Cyclopoida","copepodid",1,NA,"no usosome","Cyclopoid",NA,"39 RV.Fall C"
NA,2019-11-07,"A","YB.Fall","4",3,5,0.0016,"Hyallela azteca","undetermined",2,NA,NA,"Amphipod",NA,"4 YB.Fall A"
NA,2019-11-06,"C","RV.Fall","41",2,5,0,"Acanthocyclops sp.","copepodid",1,NA,NA,"Cyclopoid",NA,"41 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","41",2,5,0,"Gammaridea","undetermined",1,NA,"body parts","Amphipod",NA,"41 RV.Fall C"
NA,2019-11-07,"A","YB.Fall","5",4,5,0.0065,"Hyallela azteca","undetermined",5,NA,NA,"Amphipod",NA,"5 YB.Fall A"
NA,2019-11-06,"C","RV.Fall","38",2,5,2e-04,"Mesocyclops sp.","undetermined",1,NA,NA,"Cyclopoid",NA,"38 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","38",2,5,2e-04,"Pseudodiaptomus forbesi","adult",5,NA,NA,"Calanoid",NA,"38 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","38",2,5,2e-04,"Chironomidae","larva",1,NA,NA,"Diptera",NA,"38 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","38",2,5,2e-04,"Pseudodiaptomus forbesi","copepodid",1,NA,NA,"Calanoid",NA,"38 RV.Fall C"
NA,2019-11-06,"B","RV.Fall","19",1,1,0,"EMPTY",NA,0,NA,NA,"empty",NA,"19 RV.Fall B"
NA,2019-11-07,"A","SM.Fall","6",3,5,0.0017,"Acanthocyclops sp.","adult",10,NA,NA,"Cyclopoid",NA,"6 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","6",3,5,0.0017,"Acanthocyclops sp.","copepodid",22,NA,NA,"Cyclopoid",NA,"6 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","6",3,5,0.0017,"Eurytemora affinis","adult",6,NA,NA,"Calanoid",NA,"6 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","6",3,5,0.0017,"Eurytemora affinis","copepodid",9,NA,NA,"Calanoid",NA,"6 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","6",3,5,0.0017,"Sinocalanus doerrii","copepodid",3,NA,NA,"Calanoid",NA,"6 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","6",3,5,0.0017,"Cyclopoida","copepodid",11,NA,NA,"Cyclopoid",NA,"6 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","5",3,5,0.00014,"Daphnia sp.","undetermined",1,NA,NA,"Cladocera",NA,"5 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","5",3,5,0.00014,"Acanthocyclops sp.","adult",9,NA,NA,"Cyclopoid",NA,"5 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","5",3,5,0.00014,"Acanthocyclops sp.","copepodid",9,NA,NA,"Cyclopoid",NA,"5 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","5",3,5,0.00014,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"5 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","5",3,5,0.00014,"Eurytemora affinis","copepodid",2,NA,NA,"Calanoid",NA,"5 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","5",3,5,0.00014,"Calanoida","copepodid",1,NA,NA,"Calanoid",NA,"5 SM.Fall A"
NA,2019-11-06,"B","RV.Fall","20",4,5,8e-04,"Chironomidae","pupae",1,NA,NA,"Diptera",NA,"20 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","20",4,5,8e-04,"Pseudodiaptomus forbesi","adult",7,NA,NA,"Calanoid",NA,"20 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","20",4,5,8e-04,"Eurytemora affinis","adult",1,FALSE,NA,"Calanoid",NA,"20 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","20",4,5,8e-04,"Alona sp.","undetermined",1,FALSE,NA,"Cladocera",NA,"20 RV.Fall B"
NA,2019-11-06,"A","RV.Fall","9",4,5,0.00036,"Eogammarus confervicolus","undetermined",2,NA,NA,"Amphipod",NA,"9 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","9",4,5,0.00036,"Pseudodiaptomus forbesi","adult",3,FALSE,NA,"Calanoid",NA,"9 RV.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Eurytemora affinis","adult",21,NA,NA,"Calanoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Eurytemora affinis","copepodid",12,NA,NA,"Calanoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Acanthocyclops sp.","adult",47,NA,NA,"Cyclopoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Acanthocyclops sp.","copepodid",62,NA,NA,"Cyclopoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Sinocalanus doerrii","adult",3,FALSE,NA,"Calanoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Daphnia sp.","undetermined",1,FALSE,NA,"Cladocera",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Pseudodiaptomus forbesi","adult",1,FALSE,NA,"Calanoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Cyclopoida","copepodid",16,NA,NA,"Cyclopoid",NA,"3 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","3",3,5,0.0053,"Calanoida","uni",20,NA,NA,"Calanoid",NA,"3 SM.Fall A"
NA,2019-11-06,"A","RV.Fall","3",2,5,8e-04,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"3 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","3",2,5,8e-04,"Pseudodiaptomus forbesi","adult",13,NA,NA,"Calanoid",NA,"3 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","3",2,5,8e-04,"Daphnia sp.","undetermined",1,NA,NA,"Cladocera",NA,"3 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","3",2,5,8e-04,"Pseudodiaptomus forbesi","copepodid",1,NA,NA,"Calanoid",NA,"3 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","3",2,5,8e-04,"Acanthocyclops sp.","copepodid",2,NA,NA,"Cyclopoid",NA,"3 RV.Fall A"
NA,2019-11-07,"C","SM.Fall","34",2,5,5e-04,"Acanthocyclops sp.","adult",7,NA,NA,"Cyclopoid",NA,"34 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","34",2,5,5e-04,"Acanthocyclops sp.","copepodid",5,NA,NA,"Cyclopoid",NA,"34 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","34",2,5,5e-04,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"34 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","34",2,5,5e-04,"Eurytemora affinis","copepodid",1,NA,NA,"Calanoid",NA,"34 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","34",2,5,5e-04,"Diacyclops thomasi","copepodid",1,NA,NA,"Cyclopoid",NA,"34 SM.Fall C"
NA,2019-11-07,"A","SM.Fall","1",3,5,3e-04,"Cyclopoida","copepodid",3,NA,NA,"Cyclopoid",NA,"1 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","1",3,5,3e-04,"Acanthocyclops sp.","adult",7,NA,NA,"Cyclopoid",NA,"1 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","1",3,5,3e-04,"Acanthocyclops sp.","copepodid",6,NA,NA,"Cyclopoid",NA,"1 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","1",3,5,3e-04,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"1 SM.Fall A"
NA,2019-11-06,"A","RV.Fall","5",2,5,5e-04,"Pseudodiaptomus forbesi","adult",4,NA,NA,"Calanoid",NA,"5 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","5",2,5,5e-04,"Osphranticum labronectum","adult",1,NA,NA,"Calanoid",NA,"5 RV.Fall A"
NA,2019-11-07,"B","SM.Fall","18",3,5,0.0021,"Daphnia sp.","undetermined",1,NA,NA,"Cladocera",NA,"18 SM.Fall B"
NA,2019-11-07,"B","SM.Fall","18",3,5,0.0021,"Acanthocyclops sp.","adult",6,NA,NA,"Cyclopoid",NA,"18 SM.Fall B"
NA,2019-11-07,"B","SM.Fall","18",3,5,0.0021,"Acanthocyclops sp.","copepodid",11,NA,NA,"Cyclopoid",NA,"18 SM.Fall B"
NA,2019-11-07,"B","SM.Fall","18",3,5,0.0021,"Cyclopoida","copepodid",2,NA,NA,"Cyclopoid",NA,"18 SM.Fall B"
NA,2019-11-07,"C","SM.Fall","31",2,5,0,"Acanthocyclops sp.","adult",1,NA,NA,"Cyclopoid",NA,"31 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","31",2,5,0,"Acanthocyclops sp.","copepodid",1,NA,NA,"Cyclopoid",NA,"31 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","31",2,5,0,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"31 SM.Fall C"
NA,2019-11-06,"B","RV.Fall","25",3,5,6e-04,"Pseudodiaptomus forbesi","adult",13,NA,NA,"Calanoid",NA,"25 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","25",3,5,6e-04,"Acanthocyclops sp.","copepodid",2,FALSE,NA,"Cyclopoid",NA,"25 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","25",3,5,6e-04,"Harpacticoida","undetermined",1,FALSE,NA,"Harpacticoid",NA,"25 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","25",3,5,6e-04,"Gammaridea","undetermined",1,FALSE,"too small to ID further","Amphipod",NA,"25 RV.Fall B"
NA,2019-11-07,"C","SM.Fall","36",2,5,6e-04,"Acanthocyclops sp.","adult",2,FALSE,NA,"Cyclopoid",NA,"36 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","36",2,5,6e-04,"Eurytemora affinis","adult",4,FALSE,NA,"Calanoid",NA,"36 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","36",2,5,6e-04,"Cyclopoida","copepodid",1,FALSE,NA,"Cyclopoid",NA,"36 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","36",2,5,6e-04,"Ceriodaphnia sp.","undetermined",1,FALSE,NA,"Cladocera",NA,"36 SM.Fall C"
NA,2019-11-07,"C","SM.Fall","39",1,1,0,"EMPTY",NA,0,NA,NA,"empty",NA,"39 SM.Fall C"
NA,2019-11-07,"B","SM.Fall","19",3,5,0.0016,"Gammaridea","undetermined",1,NA,NA,"Amphipod",NA,"19 SM.Fall B"
NA,2019-11-07,"B","SM.Fall","19",3,5,0.0016,"Acanthocyclops sp.","copepodid",1,FALSE,NA,"Cyclopoid",NA,"19 SM.Fall B"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Daphnia sp.","undetermined",3,FALSE,NA,"Cladocera",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Acanthocyclops sp.","adult",59,NA,"weight combined","Cyclopoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Acanthocyclops sp.","copepodid",99,NA,NA,"Cyclopoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Eurytemora affinis","adult",27,NA,NA,"Calanoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Eurytemora affinis","copepodid",29,NA,NA,"Calanoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Sinocalanus doerrii","adult",6,FALSE,NA,"Calanoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Sinocalanus doerrii","copepodid",2,FALSE,NA,"Calanoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Harpacticoida","undetermined",1,FALSE,NA,"Harpacticoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Cyclopoida","copepodid",41,NA,NA,"Cyclopoid",NA,"10 SM.Fall A"
NA,2019-11-07,"A","SM.Fall","10",4,5,0.0058,"Calanoida","copepodid",38,NA,NA,"Calanoid",NA,"10 SM.Fall A"
NA,2019-11-07,"B","YB.Fall","16",2,4,4e-04,"Gammaridea","undetermined",1,NA,"urosome only","Amphipod",NA,"16 YB.Fall B"
NA,2019-11-07,"A","YB.Fall","7",4,5,0.0056,"Hyallela azteca","undetermined",5,NA,"quite digested, varous sizes","Amphipod",NA,"7 YB.Fall A"
NA,2019-11-06,"A","RV.Fall","1",4,5,7e-04,"Pseudodiaptomus forbesi","adult",19,NA,NA,"Calanoid",NA,"1 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","1",4,5,7e-04,"Pseudodiaptomus forbesi","copepodid",2,FALSE,NA,"Calanoid",NA,"1 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","1",4,5,7e-04,"Acanthocyclops sp.","adult",1,FALSE,NA,"Cyclopoid",NA,"1 RV.Fall A"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Hyallela azteca","undetermined",2,NA,NA,"Amphipod",NA,"34 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Pseudodiaptomus forbesi","adult",8,NA,NA,"Calanoid",NA,"34 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Pseudodiaptomus forbesi","copepodid",5,FALSE,NA,"Calanoid",NA,"34 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Daphnia sp.","undetermined",3,FALSE,NA,"Cladocera",NA,"34 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Diacyclops thomasi","adult",1,FALSE,NA,"Cyclopoid",NA,"34 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Acanthocyclops sp.","copepodid",3,FALSE,NA,"Cyclopoid",NA,"34 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","34",3,5,7e-04,"Eucyclops sp.","adult",1,FALSE,NA,"Cyclopoid",NA,"34 RV.Fall C"
