"Location","Date","Taxa","Day","Month","MD","ind_m3","bio_m3","Season"
"RV",2019-02-22,"Cyclopoid",22,"Feb","Feb-22",908.465151769245,1812.38797777964,"Winter"
"RV",2019-02-22,"Harpacticoid",22,"Feb","Feb-22",56.7790719855778,56.7790719855778,"Winter"
"RV",2019-02-22,"Microzoo",22,"Feb","Feb-22",28105.640632861,3081.40023665731,"Winter"
"RV",2019-02-22,"Ostracod",22,"Feb","Feb-22",85.1686079783667,51.10116478702,"Winter"
"RV",2019-07-31,"Calanoid",31,"Jul","Jul-31",7589.4379942694,12585.0321504633,"Summer"
"RV",2019-07-31,"Cladocera",31,"Jul","Jul-31",161.477404133391,122.722827141377,"Summer"
"RV",2019-07-31,"Cyclopoid",31,"Jul","Jul-31",258.363846613426,161.477404133391,"Summer"
"RV",2019-07-31,"Microzoo",31,"Jul","Jul-31",14080.8296404317,NA,"Summer"
"RV",2019-07-31,"Ostracod",31,"Jul","Jul-31",129.181923306713,25.8363846613426,"Summer"
"RV",2019-08-02,"Calanoid",2,"Aug","Aug-2",2905.47192291006,4612.32733190219,"Summer"
"RV",2019-08-02,"Cladocera",2,"Aug","Aug-2",78.1040839491952,65.607430517324,"Summer"
"RV",2019-08-02,"Cyclopoid",2,"Aug","Aug-2",187.449801478068,93.7249007390342,"Summer"
"RV",2019-08-02,"Harpacticoid",2,"Aug","Aug-2",15.620816789839,15.620816789839,"Summer"
"RV",2019-08-02,"Microzoo",2,"Aug","Aug-2",11007.4688979066,NA,"Summer"
"RV",2019-08-02,"Ostracod",2,"Aug","Aug-2",72.8971450192489,14.5794290038498,"Summer"
"RV",2019-08-05,"Calanoid",5,"Aug","Aug-5",583.63079824559,889.723649738098,"Summer"
"RV",2019-08-05,"Cladocera",5,"Aug","Aug-5",24.5739283471827,19.6591426777462,"Summer"
"RV",2019-08-05,"Cyclopoid",5,"Aug","Aug-5",33.7891514773762,15.6310551067744,"Summer"
"RV",2019-08-05,"Microzoo",5,"Aug","Aug-5",8548.65532377619,NA,"Summer"
"RV",2019-08-05,"Ostracod",5,"Aug","Aug-5",47.1000293321002,9.42000586642004,"Summer"
"RV",2019-08-08,"Calanoid",8,"Aug","Aug-8",7012.16472096366,12213.0592458435,"Summer"
"RV",2019-08-08,"Cladocera",8,"Aug","Aug-8",28.0486588838547,16.8291953303128,"Summer"
"RV",2019-08-08,"Cyclopoid",8,"Aug","Aug-8",140.243294419273,58.5841970481289,"Summer"
"RV",2019-08-08,"Harpacticoid",8,"Aug","Aug-8",28.0486588838547,28.0486588838547,"Summer"
"RV",2019-08-08,"Microzoo",8,"Aug","Aug-8",13217.9304990165,NA,"Summer"
"RV",2019-08-12,"Calanoid",12,"Aug","Aug-12",1300.83372041656,1939.65991849323,"Summer"
"RV",2019-08-12,"Cladocera",12,"Aug","Aug-12",101.262505182128,112.167698047895,"Summer"
"RV",2019-08-12,"Cyclopoid",12,"Aug","Aug-12",186.946163413159,115.600039415045,"Summer"
"RV",2019-08-12,"Microzoo",12,"Aug","Aug-12",11220.2317707786,NA,"Summer"
"RV",2019-08-12,"Ostracod",12,"Aug","Aug-12",96.9350476957118,19.3870095391424,"Summer"
"RV",2019-08-15,"Calanoid",15,"Aug","Aug-15",3549.59700323248,5922.78767115532,"Summer"
"RV",2019-08-15,"Cladocera",15,"Aug","Aug-15",165.525248855401,143.455215674681,"Summer"
"RV",2019-08-15,"Cyclopoid",15,"Aug","Aug-15",165.525248855401,69.2629205316672,"Summer"
"RV",2019-08-15,"Microzoo",15,"Aug","Aug-15",13595.1404393236,NA,"Summer"
"RV",2019-08-15,"Ostracod",15,"Aug","Aug-15",38.6225580662602,7.72451161325204,"Summer"
"RV",2019-08-19,"Calanoid",19,"Aug","Aug-19",4376.22922567466,7036.16451111101,"Summer"
"RV",2019-08-19,"Cladocera",19,"Aug","Aug-19",22.5578826065704,13.5347295639422,"Summer"
"RV",2019-08-19,"Cyclopoid",19,"Aug","Aug-19",248.136708672274,114.78946341304,"Summer"
"RV",2019-08-19,"Microzoo",19,"Aug","Aug-19",15175.8155235702,NA,"Summer"
"RV",2019-08-19,"Ostracod",19,"Aug","Aug-19",50.7552358647834,10.1510471729567,"Summer"
"RV",2019-08-22,"Calanoid",22,"Aug","Aug-22",8121.42327717408,12182.1349157611,"Summer"
"RV",2019-08-22,"Cladocera",22,"Aug","Aug-22",203.035581929352,154.307042266307,"Summer"
"RV",2019-08-22,"Cyclopoid",22,"Aug","Aug-22",446.678280244574,189.932724261584,"Summer"
"RV",2019-08-22,"Microzoo",22,"Aug","Aug-22",45926.6486324194,NA,"Summer"
"RV",2019-08-26,"Calanoid",26,"Aug","Aug-26",4877.78600473188,7501.21812971405,"Summer"
"RV",2019-08-26,"Cladocera",26,"Aug","Aug-26",136.124260597169,90.7495070647792,"Summer"
"RV",2019-08-26,"Cyclopoid",26,"Aug","Aug-26",340.310651492922,132.826699116688,"Summer"
"RV",2019-08-26,"Microzoo",26,"Aug","Aug-26",14096.423430729,NA,"Summer"
"RV",2019-08-26,"Ostracod",26,"Aug","Aug-26",30.2498356882597,6.04996713765195,"Summer"
"RV",2019-10-11,"Calanoid",11,"Oct","Oct-11",1890.61473051623,3363.17673182072,"Fall"
"RV",2019-10-11,"Cladocera",11,"Oct","Oct-11",170.155325746461,147.467948980266,"Fall"
"RV",2019-10-11,"Cyclopoid",11,"Oct","Oct-11",718.433597596169,358.145107335728,"Fall"
"RV",2019-10-11,"Microzoo",11,"Oct","Oct-11",7890.16547535441,NA,"Fall"
"RV",2019-10-11,"Ostracod",11,"Oct","Oct-11",226.873767661948,45.3747535323896,"Fall"
"RV",2019-10-15,"Calanoid",15,"Oct","Oct-15",1482.18074963518,2537.65813012539,"Fall"
"RV",2019-10-15,"Cladocera",15,"Oct","Oct-15",82.3433749797324,54.111360700967,"Fall"
"RV",2019-10-15,"Cyclopoid",15,"Oct","Oct-15",188.213428525103,69.9132329858847,"Fall"
"RV",2019-10-15,"Microzoo",15,"Oct","Oct-15",7552.06381956975,NA,"Fall"
"RV",2019-10-15,"Ostracod",15,"Oct","Oct-15",23.5266785656378,4.70533571312757,"Fall"
"RV",2019-10-16,"Calanoid",16,"Oct","Oct-16",424.793365674731,658.344758122698,"Fall"
"RV",2019-10-16,"Cladocera",16,"Oct","Oct-16",24.2739066099846,16.9917346269892,"Fall"
"RV",2019-10-16,"Cyclopoid",16,"Oct","Oct-16",879.929114611943,285.200854416973,"Fall"
"RV",2019-10-16,"Harpacticoid",16,"Oct","Oct-16",6.06847665249616,6.06847665249616,"Fall"
"RV",2019-10-16,"Microzoo",16,"Oct","Oct-16",8299.65323506391,NA,"Fall"
"RV",2019-10-21,"Calanoid",21,"Oct","Oct-21",435.945396620495,1164.41984204882,"Fall"
"RV",2019-10-21,"Cladocera",21,"Oct","Oct-21",19.3753509609109,19.3753509609109,"Fall"
"RV",2019-10-21,"Cyclopoid",21,"Oct","Oct-21",174.378158648198,64.1386239897059,"Fall"
"RV",2019-10-21,"Microzoo",21,"Oct","Oct-21",4546.74902549375,NA,"Fall"
"RV",2019-10-21,"Ostracod",21,"Oct","Oct-21",38.7507019218218,7.75014038436435,"Fall"
"RV",2019-10-28,"Calanoid",28,"Oct","Oct-28",1244.38707632663,2268.24110968204,"Fall"
"RV",2019-10-28,"Cladocera",28,"Oct","Oct-28",553.060922811835,525.407876671244,"Fall"
"RV",2019-10-28,"Cyclopoid",28,"Oct","Oct-28",1451.78492238107,910.983014834862,"Fall"
"RV",2019-10-28,"Microzoo",28,"Oct","Oct-28",14586.9818391622,NA,"Fall"
"RV",2019-10-28,"Ostracod",28,"Oct","Oct-28",138.265230702959,27.6530461405918,"Fall"
"RV",2019-11-04,"Calanoid",4,"Nov","Nov-4",2540.21386158348,5219.10030715613,"Fall"
"RV",2019-11-04,"Cladocera",4,"Nov","Nov-4",57.7321332178063,34.6392799306838,"Fall"
"RV",2019-11-04,"Cyclopoid",4,"Nov","Nov-4",721.651665222579,253.962711057332,"Fall"
"RV",2019-11-04,"Harpacticoid",4,"Nov","Nov-4",28.8660666089032,28.8660666089032,"Fall"
"RV",2019-11-04,"Microzoo",4,"Nov","Nov-4",24896.982450179,NA,"Fall"
"SM",2019-10-11,"Calanoid",11,"Oct","Oct-11",668.120095379981,1002.18014306997,"Fall"
"SM",2019-10-11,"Cyclopoid",11,"Oct","Oct-11",74161.3305871779,22240.2507821339,"Fall"
"SM",2019-10-11,"Microzoo",11,"Oct","Oct-11",74384.0372856379,NA,"Fall"
"SM",2019-10-11,"Other",11,"Oct","Oct-11",668.120095379981,NA,"Fall"
"SM",2019-10-15,"Calanoid",15,"Oct","Oct-15",701.246190955112,1051.86928643267,"Fall"
"SM",2019-10-15,"Cyclopoid",15,"Oct","Oct-15",50957.2232094048,17017.4562352871,"Fall"
"SM",2019-10-15,"Microzoo",15,"Oct","Oct-15",99109.4616549892,NA,"Fall"
"SM",2019-10-15,"Other",15,"Oct","Oct-15",467.497460636741,NA,"Fall"
"SM",2019-10-16,"Cyclopoid",16,"Oct","Oct-16",265981.825050992,94886.6926320585,"Fall"
"SM",2019-10-16,"Microzoo",16,"Oct","Oct-16",388883.771798692,NA,"Fall"
"SM",2019-10-21,"Calanoid",21,"Oct","Oct-21",2902.06605136092,4353.09907704138,"Fall"
"SM",2019-10-21,"Cyclopoid",21,"Oct","Oct-21",123047.600577703,34056.8423920202,"Fall"
"SM",2019-10-21,"Microzoo",21,"Oct","Oct-21",158452.806404306,NA,"Fall"
"SM",2019-10-21,"Other",21,"Oct","Oct-21",1160.82642054437,NA,"Fall"
"SM",2019-10-28,"Calanoid",28,"Oct","Oct-28",769.28537787715,1153.92806681572,"Fall"
"SM",2019-10-28,"Cyclopoid",28,"Oct","Oct-28",54875.69028857,15624.25273301,"Fall"
"SM",2019-10-28,"Microzoo",28,"Oct","Oct-28",49549.8684417282,NA,"Fall"
"SM",2019-11-04,"Calanoid",4,"Nov","Nov-4",4725.67745595853,8570.48863412639,"Fall"
"SM",2019-11-04,"Cyclopoid",4,"Nov","Nov-4",240064.414762693,81155.2911243157,"Fall"
"SM",2019-11-04,"Microzoo",4,"Nov","Nov-4",327016.87995233,NA,"Fall"
"YB",2019-07-31,"Calanoid",31,"Jul","Jul-31",3640.01822267117,5685.01143904633,"Summer"
"YB",2019-07-31,"Cladocera",31,"Jul","Jul-31",96.8089952838078,89.0642756611032,"Summer"
"YB",2019-07-31,"Cyclopoid",31,"Jul","Jul-31",367.87418207847,296.028437496833,"Summer"
"YB",2019-07-31,"Harpacticoid",31,"Jul","Jul-31",96.8089952838078,96.8089952838078,"Summer"
"YB",2019-07-31,"Microzoo",31,"Jul","Jul-31",15566.8864416363,NA,"Summer"
"YB",2019-07-31,"Ostracod",31,"Jul","Jul-31",851.919158497509,170.383831699502,"Summer"
"YB",2019-08-01,"Calanoid",1,"Aug","Aug-1",6083.36889818379,9261.64995905713,"Summer"
"YB",2019-08-01,"Cladocera",1,"Aug","Aug-1",117.553022187126,94.0424177497011,"Summer"
"YB",2019-08-01,"Cyclopoid",1,"Aug","Aug-1",587.765110935632,233.440176545411,"Summer"
"YB",2019-08-01,"Microzoo",1,"Aug","Aug-1",26963.7244641721,NA,"Summer"
"YB",2019-08-01,"Ostracod",1,"Aug","Aug-1",1102.05958300431,220.411916600862,"Summer"
"YB",2019-08-02,"Calanoid",2,"Aug","Aug-2",2028.62894223748,3106.99957723883,"Summer"
"YB",2019-08-02,"Cladocera",2,"Aug","Aug-2",77.1761010633825,77.1761010633825,"Summer"
"YB",2019-08-02,"Cyclopoid",2,"Aug","Aug-2",297.679246958761,175.623085459639,"Summer"
"YB",2019-08-02,"Harpacticoid",2,"Aug","Aug-2",88.2012583581515,88.2012583581515,"Summer"
"YB",2019-08-02,"Microzoo",2,"Aug","Aug-2",17019.1678106916,NA,"Summer"
"YB",2019-08-02,"Ostracod",2,"Aug","Aug-2",323.404613979889,64.6809227959778,"Summer"
"YB",2019-08-06,"Calanoid",6,"Aug","Aug-6",2604.37335350603,3903.12447392038,"Summer"
"YB",2019-08-06,"Cladocera",6,"Aug","Aug-6",55.4121990107667,55.4121990107667,"Summer"
"YB",2019-08-06,"Cyclopoid",6,"Aug","Aug-6",290.914044806525,123.892190211808,"Summer"
"YB",2019-08-06,"Harpacticoid",6,"Aug","Aug-6",41.559149258075,41.559149258075,"Summer"
"YB",2019-08-06,"Microzoo",6,"Aug","Aug-6",98633.7142391647,NA,"Summer"
"YB",2019-08-06,"Ostracod",6,"Aug","Aug-6",1662.365970323,332.4731940646,"Summer"
"YB",2019-08-12,"Calanoid",12,"Aug","Aug-12",5015.03597486325,7557.87197322088,"Summer"
"YB",2019-08-12,"Cladocera",12,"Aug","Aug-12",60.7883148468273,48.6306518774618,"Summer"
"YB",2019-08-12,"Cyclopoid",12,"Aug","Aug-12",1428.52539890044,689.258218635239,"Summer"
"YB",2019-08-12,"Harpacticoid",12,"Aug","Aug-12",30.3941574234136,30.3941574234136,"Summer"
"YB",2019-08-12,"Microzoo",12,"Aug","Aug-12",45211.3091673278,NA,"Summer"
"YB",2019-08-12,"Ostracod",12,"Aug","Aug-12",425.518203927791,85.1036407855582,"Summer"
"YB",2019-08-15,"Calanoid",15,"Aug","Aug-15",3283.96087685773,5112.34784031365,"Summer"
"YB",2019-08-15,"Cladocera",15,"Aug","Aug-15",185.534512816821,178.113132304148,"Summer"
"YB",2019-08-15,"Cyclopoid",15,"Aug","Aug-15",556.603538450462,272.315054259321,"Summer"
"YB",2019-08-15,"Harpacticoid",15,"Aug","Aug-15",185.534512816821,185.534512816821,"Summer"
"YB",2019-08-15,"Microzoo",15,"Aug","Aug-15",22152.8208303284,NA,"Summer"
"YB",2019-08-15,"Ostracod",15,"Aug","Aug-15",890.56566152074,178.113132304148,"Summer"
"YB",2019-10-10,"Calanoid",10,"Oct","Oct-10",339.563912691932,514.750982278282,"Fall"
"YB",2019-10-10,"Cladocera",10,"Oct","Oct-10",404.685758961617,397.243262245082,"Fall"
"YB",2019-10-10,"Cyclopoid",10,"Oct","Oct-10",172.107736569883,102.09553286576,"Fall"
"YB",2019-10-10,"Harpacticoid",10,"Oct","Oct-10",9.30312089566936,9.30312089566936,"Fall"
"YB",2019-10-10,"Microzoo",10,"Oct","Oct-10",5872.59506539129,NA,"Fall"
"YB",2019-10-10,"Ostracod",10,"Oct","Oct-10",96.9075093298892,19.3815018659778,"Fall"
"YB",2019-10-15,"Calanoid",15,"Oct","Oct-15",248.027239603964,380.774424630789,"Fall"
"YB",2019-10-15,"Cladocera",15,"Oct","Oct-15",80.1704208820894,79.1682906210633,"Fall"
"YB",2019-10-15,"Cyclopoid",15,"Oct","Oct-15",180.383446984701,79.9665088997286,"Fall"
"YB",2019-10-15,"Microzoo",15,"Oct","Oct-15",6680.86840684079,NA,"Fall"
"YB",2019-10-15,"Ostracod",15,"Oct","Oct-15",267.234736273631,53.4469472547263,"Fall"
"YB",2019-10-18,"Calanoid",18,"Oct","Oct-18",323.700432727919,516.048479051055,"Fall"
"YB",2019-10-18,"Cladocera",18,"Oct","Oct-18",148.727225847963,148.727225847963,"Fall"
"YB",2019-10-18,"Cyclopoid",18,"Oct","Oct-18",341.197753415915,221.247533621709,"Fall"
"YB",2019-10-18,"Harpacticoid",18,"Oct","Oct-18",17.4973206879956,17.4973206879956,"Fall"
"YB",2019-10-18,"Microzoo",18,"Oct","Oct-18",6080.31893907848,NA,"Fall"
"YB",2019-10-18,"Ostracod",18,"Oct","Oct-18",481.17631891988,96.2352637839759,"Fall"
"YB",2019-10-25,"Calanoid",25,"Oct","Oct-25",256.455980023494,427.255662719141,"Fall"
"YB",2019-10-25,"Cladocera",25,"Oct","Oct-25",146.546274299139,146.546274299139,"Fall"
"YB",2019-10-25,"Cyclopoid",25,"Oct","Oct-25",146.546274299139,91.5914214369622,"Fall"
"YB",2019-10-25,"Microzoo",25,"Oct","Oct-25",5348.93901191859,NA,"Fall"
"YB",2019-10-25,"Ostracod",25,"Oct","Oct-25",293.092548598279,58.6185097196558,"Fall"
"YB",2019-11-04,"Calanoid",4,"Nov","Nov-4",223.078788275603,367.020376410435,"Fall"
"YB",2019-11-04,"Cladocera",4,"Nov","Nov-4",139.424242672252,117.116363844691,"Fall"
"YB",2019-11-04,"Cyclopoid",4,"Nov","Nov-4",306.733333878954,261.002182282455,"Fall"
"YB",2019-11-04,"Harpacticoid",4,"Nov","Nov-4",27.8848485344503,27.8848485344503,"Fall"
"YB",2019-11-04,"Microzoo",4,"Nov","Nov-4",4991.38788766661,NA,"Fall"
"YB",2019-11-04,"Ostracod",4,"Nov","Nov-4",250.963636810053,50.1927273620106,"Fall"
