Taxon,Life History Stage,Taxa Group,Carbon Weight,Notes,Taxonomic level,Class,Order,Family,Genus,Species
Gnorimosphaeroma,,Isopoda,,Use LW,,,,,,
Graptoleberis,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Graptoleberis,
Halicyclops,Undifferentiated,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,
Halicyclops adult,Adult,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,
Hard pellet/ can't ID,NA,NA,NA,,NA,,,,,
Harpacticoida,Undifferentiated,Other,1,,Order,Copepoda,Harpacticoida,,,
Harpacticoida adult,Adult,Other,1,,Order,Copepoda,Harpacticoida,,,
Hemiptera,Undifferentiated,Insect,18.32,,Order,Insecta,Hemiptera,,,
Hemiptera nymph,Juvenile,Insect,18.32,,Order,Insecta,Hemiptera,,,
Hesperodiaptomus franciscanus,Undifferentiated,Other Calanoid,3,,Species,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus,Hesperodiaptomus franciscanus
Hyalella,Undifferentiated,Amphipod,,LW,Genus,Malacostraca,Amphipoda,Hyalellidae,Hyalella,
Hyalella azteca,Undifferentiated,Amphipod,,LW,Species,Malacostraca,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca
Hydrachnidae,Undifferentiated,Other,1.3,,Family,Arachnida,Hydrachnidia,,,
Hydrachnidia,Undifferentiated,Other,1.3,,Family,Arachnida,Hydrachnidia,,,
Hydroptilidae larvae,Larva,Insect,NA,,Family,Insecta,Trichoptera,Hydroptilidae,,
Hydroptilidae pupae,Larva,Insect,NA,,Family,Insecta,Trichoptera,Hydroptilidae,,
Ilyocryptus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Ilyocryptidae,Ilyocryptus,
Insect parts,NA,NA,NA,,Class,Insecta,,,,
Insect pupae,Larva,Insect,20.52,,Class,Insecta,,,,
Insecta,Undifferentiated,Insect,18.32,,Class,Insecta,,,,
Insecta adult,Adult,Insect,18.32,,Class,Insecta,,,,
Insecta larvae,Larva,Insect,18.32,,Class,Insecta,,,,
Isopod,Undifferentiated,Isopod,,LW,Order,Malacostraca,Isopoda,,,
Keratella,Undifferentiated,Rotifer,0.04,,Genus,Eurotatoria,Ploima,Brachionidae,Keratella,
Kurzia,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Kurzia,
Larval Fish,Larva,Fish,,LW,Class,Actinopterygii,,,,
Lecane,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Lecanidae,Lecane,
Lepadella,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Lepadellidae,Lepadella,
Leptoceridae larvae,Larva,Insect,18.32,,Family,Insecta,Trichoptera,Leptoceridae,,
Leydigia,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Leydigia,
Limnoithona,Undifferentiated,Limnoithona,0.13,,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,
Limnoithona adult,Adult,Limnoithona,0.13,,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,
Limnoithona copepodid,Juvenile,Limnoithona,0.04,,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,
Limnoithona sinensis,Undifferentiated,Limnoithona,0.13,,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis
Limnoithona sinensis adult,Adult,Limnoithona,0.13,,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis
Limnoithona tetraspina,Undifferentiated,Limnoithona,0.13,,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina
Limnoithona tetraspina adult,Adult,Limnoithona,0.13,,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina
Loose copepod eggs,Egg,Eggs,NA,,Class,Copepoda,,,,
Macrocyclops,Undifferentiated,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,
Macrocyclops adult,Adult,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,
Macrocyclops albidus,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,Macrocyclops albidus
Macrocyclops copepodid,Juvenile,Other Cyclopoid,1.6,,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,
Macrothrix,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Macrothricidae,Macrothrix,
Maeotias marginata (large),Undifferentiated,Maeotias,NA,,Species,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,Maeotias marginata
Mesocyclops,Undifferentiated,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,
Mesocyclops adult,Adult,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,
Mesocyclops edax,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,Mesocyclops edax
Microcyclops adult,Adult,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,
Microcyclops rubellus,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,Microcyclops rubellus
Moina,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Moinidae,Moina,
Monospilus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Monospilus,
Monospilus dispar,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Monospilus,Monospilus dispar
Munnidae,,Isopod,,LW,,,,,,
Munnidae,Undifferentiated,Isopod,,LW,Family,Malacostraca,Isopoda,Munnidae,,
Mysid,Undifferentiated,Mysid,,LW,Order,Malacostraca,Mysida,Mysidae,,
Naididae,Undifferentiated,Worm,NA,,Family,Polychaeta,Tubificida,Naididae,,
Nematoda,Undifferentiated,Worm,NA,,Phylum,,,,,
Nippoleucon hinumensis,Undifferentiated,Cumacean,9.41,,Species,Malacostraca,Cumacea,Leuconidae,Nippoleucon,Nippoleucon hinumensis
Notholca,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Brachionidae,Notholca,
Oithona,Undifferentiated,Other Cyclopoid,0.2,,Genus,Copepoda,Cyclopoida,Oithonidae,Oithona,
Oithona copepodid,Juvenile,Other Cyclopoid,0.1,,Genus,Copepoda,Cyclopoida,Oithonidae,Oithona,
Oithona davisae,Undifferentiated,Other Cyclopoid,0.2,,Species,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona davisae
Oithona similis,Undifferentiated,Other Cyclopoid,0.2,,Species,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona similis
Osphranticum copepodid,Juvenile,Other Calanoid,1.5,,Genus,Copepoda,Calanoida,Centropagidae,Osphranticum,
Osphranticum labronectum,Undifferentiated,Other Calanoid,3,,Species,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum
Osphranticum labronectum adult,Adult,Other Calanoid,3,,Species,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum
Ostracoda,Undifferentiated,Other,NA,,Order,Ostracoda,,,,
Paracyclops,Undifferentiated,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,
Paracyclops chiltoni,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,Paracyclops chiltoni
Paracyclops poppei,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,Paracyclops poppei
Picripleuroxus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Picripleuroxus,
Plant material,NA,NA,NA,,NA,,,,,
Plationus,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Brachionidae,Plaionus,
Platyias,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Brachionidae,Platyias,
Pleuroxus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Pleuroxus,
Polyarthra,Undifferentiated,Rotifer,0.28,,Genus,Eurotatoria,Ploima,Synchaetidae,Polyarthra,
Polycentropodidae larvae,Larva,Insect,NA,,Family,Insecta,Trichoptera,Polycentropodidae,,
Polychaete larvae,Larva,Worm,NA,,Class,Polychaeta,,,,
Pseudochydorus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Pseudochydorus,
Pseudodiaptomus forbesi,Undifferentiated,Pseudodiaptomus,2.66,,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus forbesi adult,Adult,Pseudodiaptomus,2.66,,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus forbesi copepodid,Juvenile,Pseudodiaptomus,1.15,,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus forbesi nauplii,Larva,Copepod nauplii,0.1,,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus nauplii,Larva,Copepod nauplii,0.1,,Genus,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,
Rotifer,Undifferentiated,Rotifer,0.1,,Phylum,,,,,
Scapholeberis,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Daphniidae,Scapholeberis,
Shrimp,Undifferentiated,Shrimp,,LW,Class,Malacostraca,Decapoda,,,
Sida,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Sididae,Sida,
Simocephalus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Daphniidae,Simocephalus,
Sinocalanus adult,Adult,Sinocalanus,3.41,,Genus,Copepoda,Calanoida,Centropagidae,Sinocalanus,
Sinocalanus doerrii adult,Adult,Sinocalanus,3.41,,Species,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii
Sinocalanus doerrii copepodid,Juvenile,Sinocalanus,1.81,,Species,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii
Sinocalanus nauplii,Larva,Copepod nauplii,0.1,,Genus,Copepoda,Calanoida,Centropagidae,Sinocalanus,
Skistodiaptomus pallidus,Undifferentiated,Other Calanoid,3,,Species,Copepoda,Calanoida,Diaptomidae,Skistodiaptomus,Skistodiaptomus pallidus
Small rock,NA,NA,NA,,NA,,,,,
Sphaeromatidae,Undifferentiated,Isopod,,LW,Family,Malacostraca,Isopoda,Sphaeromatidae,,
Tanaidacea,Undifferentiated,Tanaid,,LW,Class,Malacostraca,Tanaidacea,,,
Tardigrada,Undifferentiated,Other,NA,,Phylum,,,,,
Testudinella,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,
Tortanus,Undifferentiated,Other Calanoid,15.89,,Genus,Copepoda,Calanoida,Tortanidae,Tortanus,
Tortanus copepodid,Juvenile,Other Calanoid,7.95,,Genus,Copepoda,Calanoida,Tortanidae,Tortanus,
Trichocerca,Undifferentiated,Rotifer,0.12,,Genus,Eurotatoria,Ploima,Trichocercidae,Trichocerca,
Trichoptera adult,Adult,Insect,NA,,Order,Insecta,Trichoptera,,,
Trichotria,Undifferentiated,Insect,NA,,Genus,Insecta,Trichoptera,Trichotriidae,Trichotria,
Tricoptera larvae,Larva,Insect,NA,,Order,Insecta,Trichoptera,,,
Tropocyclops,Undifferentiated,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,
Tropocyclops prasinus,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,Tropocyclops prasinus
Turbellaria,Undifferentiated,Worm,NA,,Class,Turbellaria,,,,
Unidentified eggs,Egg,Eggs,NA,,NA,,,,,
