"Study","Year","Month","Date","Site","Treatment","Cage ID","Tag","Fullness","Digestion","Total Contents Weight","Prey Taxa","LH Stage","Prey Taxa LH Stage","Count","Taxa Weight","Comments"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N1",6,2,0.0119,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N1",6,2,0.0119,"Dirt/Plant matter",NA,"Detritis",NA,NA,"mostly this"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N9",3,2,5e-04,"Harpaticoida",NA,"Harpaticoida",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N9",3,2,5e-04,"Dirt/Plant matter",NA,"Detritis",NA,NA,"Mostly this"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N14",3,5,0,"Corophiidae parts (head)",NA,"Corophiidae parts (head)",1,NA,"Stomach cut strangly, missing parts"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N31",5,3,0.001,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",3,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N31",5,3,0.001,"Cladocera",NA,"Cladocera",1,NA,"carapace only"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N31",5,3,0.001,"Sinocalanus sp.","adult","Sinocalanus adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N31",5,3,0.001,"Plant matter",NA,"Plant material",NA,NA,"detritis"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N46",1,1,0,"EMPTY",NA,"Empty",0,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N49",1,1,0.0021,"Gammaridea",NA,"Gammaridea",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N49",1,1,0.0021,"Corophiidae","juvenile","Corophiidae juvenile",4,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N49",1,1,0.0021,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N49",1,1,0.0021,"Acanthocyclops sp.","copepodid","Acanthocyclops copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N49",1,1,0.0021,"Halicyclops sp.","adult","Halicyclops adult",1,NA,"Keyed"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N35",3,5,0,"Cumacean",NA,"Cumacean",1,NA,"3/4 of body"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N35",3,5,0,"Limnoithona sp.","adult","Limnoithona adult",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N35",3,5,0,"Plant matter",NA,"Plant material",NA,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N35",3,5,0,"Detritis",NA,"Detritis",NA,NA,"dirt?"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N10",2,2,0,"insect parts",NA,"Insect parts",NA,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N11",1,1,0,"EMPTY",NA,"Empty",0,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N2",2,2,0,"Animal parts",NA,"Animal parts",NA,NA,"legs"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N12",4,3,0.0016,"Corophiidae","juvenile","Corophiidae juvenile",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N16",4,5,4e-04,"Americorophium salmonis",NA,"Americorophium",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N16",4,5,4e-04,"Limnoithona sp.","adult","Limnoithona adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N16",4,5,4e-04,"Cumacean",NA,"Cumacean",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N18",5,5,0.0011,"Americorophium salmonis",NA,"Americorophium",3,NA,"stomach cut, contents spilling  out"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N18",5,5,0.0011,"Corophiidae","juvenile","Corophiidae juvenile",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N18",5,5,0.0011,"Limnoithona sp.","adult","Limnoithona adult",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N22",3,5,0,"Harpacticoida",NA,"Harpacticoida",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N22",3,5,0,"Tanaidacea",NA,"Tanaidacea",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N20",1,1,0,"EMPTY",NA,"Empty",0,NA,"missing half of stomach"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N4",2,1,0,"Animal parts",NA,"Animal parts",NA,NA,"HALF OF STOMACH"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N11",1,1,0,"EMPTY",NA,"Empty",0,NA,"HALF OF STOMACH"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N15",2,1,0,"Plant matter",NA,"Plant material",NA,NA,"STOMACH BURST"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Corophiidae","juvenile","Corophiidae juvenile",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Gammaridea",NA,"Gammaridea",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Acanthocyclops sp.","adult","Acanthocyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Limnoithona sp.","adult","Limnoithona adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Plant matter",NA,"Plant material",NA,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Americorophium spinicorne",NA,"Americorophium spinicorne",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N26",6,5,0.0035,"Tanaidacea",NA,"Tanaidacea",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"6","C5N22",2,2,0,"Arthropoda parts",NA,"Arthropoda parts",NA,NA,"limbs look like crustaceans"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Ostracoda",NA,"Ostracoda",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Eucyclops sp.","adult","Eucyclops adult",2,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Macrocyclops sp.","adult","Macrocyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",8,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Pseudodiaptomus forbesi","copepodid","Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N19",NA,6,0,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",5,NA,"Stomach cut unevenly. Tried my best to put parts together.  Collected fallen diet specimens"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Chironomidae","pupae","Chironomidae pupae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Harpacticoida",NA,"Harpacticoida",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Chironomidae","larvae","Chironomidae larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",9,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Pseudodiaptomus forbesi","copepodid","Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N21",3,5,3e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",9,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Chironomidae","larvae","Chironomidae larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",13,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Calanoida",NA,"Calanoida",2,NA,"digested"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Harpacticoida",NA,"Harpacticoida",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N24",NA,5,3e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",6,NA,"Missing stomach entirely. Counted and weighed specimens in vial.  Cannot tell how full the stomach would be"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N24",NA,5,3e-04,"Macrocyclops sp.","copepodid","Macrocyclops copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N22",1,1,0,"EMPTY",NA,"Empty",0,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Camptocercus sp.",NA,"Camptocercus",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Eucyclops sp.","adult","Eucyclops adult",2,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Animal parts",NA,"Animal parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Ostracoda",NA,"Ostracoda",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Chironomidae","larvae","Chironomidae larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Chironomidae","pupae","Chironomidae pupae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Macrocyclops sp.","adult","Macrocyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Eucyclops sp.","adult","Eucyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Amphipoda",NA,"Amphipoda",1,NA,"Juvenile and half a body"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",8,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Acanthocyclops sp.","copepodid","Acanthocyclops copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Eurycercus sp.",NA,"Eurycercus",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Eucyclops sp.","adult","Eucyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",17,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Animal parts",NA,"Animal parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Plant matter",NA,"Plant material",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Gammaridea",NA,"Gammaridea",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",27,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Pseudodiaptomus forbesi","copepodid","Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Animal parts",NA,"Animal parts",NA,NA,"cannot ID"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N3",6,3,8e-04,"Corophiidae","juvenile","Corophiidae juvenile",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N3",6,3,8e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",12,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N3",6,3,8e-04,"Amphipoda parts",NA,"Amphipoda parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Chironomidae","larvae","Chironomidae larvae",3,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Copepoda","copepodid","Copepoda copepodid",1,NA,"digested"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Chironomidae","pupae","Chironomidae pupae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",8,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Harpacticoida",NA,"Harpacticoida",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Chironomidae","pupae","Chironomidae pupae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Acanthocyclops sp.","adult","Acanthocyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",25,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Amphipoda parts",NA,"Amphipoda parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N8",3,5,3e-04,"Pseudodiaptomus forbesi",NA,"Pseudodiaptomus forbesi",9,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N8",3,5,3e-04,"insect parts",NA,"Insect parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Hyalella azteca",NA,"Hyalella azteca",2,NA,"Stomach was ripped"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",19,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Pseudodiaptomus forbesi","copepodid","Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Camptocercus sp.",NA,"Camptocercus",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N16",5,5,7e-04,"Gammaridea",NA,"Gammaridea",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N16",5,5,7e-04,"Chironomidae","larvae","Chironomidae larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N16",5,5,7e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",12,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Simocephalus sp.",NA,"Simocephalus",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",6,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Amphipoda",NA,"Amphipoda",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Tricoptera","larvae","Tricoptera larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",3,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Camptocercus sp.",NA,"Camptocercus",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Chydorus sp.",NA,"Chydorus",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Diacyclops thomasi","copepodid","Diacyclops thomasi copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Ostracoda",NA,"Ostracoda",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Plant matter",NA,"Plant material",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Chironomidae","larvae","Chironomidae larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Animal parts",NA,"Animal parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N5",3,2,0,"Harpacticoida",NA,"Harpacticoida",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N5",3,2,0,"Calanoida",NA,"Calanoida",5,NA,"parts missing to id"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N5",3,2,0,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N9",1,1,0,"EMPTY",NA,"Empty",0,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Ceriodaphnia sp.",NA,"Ceriodaphnia",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Diaphonosoma sp.",NA,"Diaphonosoma",2,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Amphipoda",NA,"Amphipoda",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Macrocyclops sp.","copepodid","Macrocyclops copepodid",3,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N21",3,5,0,"Chironomidae","larvae","Chironomidae larvae",1,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N21",3,5,0,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N21",3,5,0,"Animal parts",NA,"Animal parts",NA,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Chironomidae","larvae","Chironomidae larvae",4,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",6,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Amphipoda",NA,"Amphipoda",1,NA,"too digested to ID"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Cladocera",NA,"Cladocera",1,NA,"too digested to ID"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N23",1,1,0,"EMPTY",NA,"Empty",0,NA,NA
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"1","C1N25",6,2,0.0014,"insect parts",NA,"Insect parts",NA,NA,"Lots of molts but no discernable animals to count"
"SMSCG","2024","9",2024-09-26,"Rio Vista",NA,"2","C2N2",NA,NA,NA,"EMPTY",NA,"Empty",NA,NA,"Missing stomach, no animals or digested animal parts found in vial"
"Cage Prototypes","2019","3",2019-03-22,"Sac DWSC",NA,"FCCL Control Tank 1","RL25",4,4,0.0011,"Americorophium spinicorne","adult","Americorophium spinicorne adult",1,NA,NA
"Cage Prototypes","2019","3",2019-03-22,"Sac DWSC",NA,"FCCL Control Tank 1","RL25",4,4,0.0011,"Acanthocyclops sp.","adult","Acanthocyclops adult",1,NA,NA
"Cage Prototypes","2019","3",2019-03-22,"Sac DWSC",NA,"FCCL Control Tank 1","RL45",5,5,0.0053,"Americorophium spinicorne","adult","Americorophium spinicorne adult",2,NA,NA
"Cage Prototypes","2019","3",2019-03-22,"Sac DWSC",NA,"FCCL Control Tank 2","RC01",3,5,0.000700000000000001,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",1,NA,NA
"Cage Prototypes","2019","3",2019-03-22,"Sac DWSC",NA,"FCCL Control Tank 1","RF42",4,6,0.0033,"Americorophium spinicorne","adult","Americorophium spinicorne adult",2,NA,NA
"Cage Prototypes","2019","3",2019-03-22,"Sac DWSC",NA,"FCCL Control Tank 1","RF42",4,6,0.0033,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",1,NA,NA
