"Study","Site","Date","Cage","SampleType","FlowMeterStart","FlowMeterEnd","Rotations","VolumeSampled","TotalVolume","SubsampledVolume","Taxon","Count","AdjCount","CPUE"
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Cyclopoida copepodid",157,6541.66666666667,651.814977193181
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Diacyclops thomasi",1,41.6666666666667,4.15168775282281
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Ectocyclops phaleratus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Eucyclops",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Limnoithona copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Limnoithona sinensis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Limnoithona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Limnoithona tetraspina",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Macrocyclops albidus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Mesocyclops edax",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Microcyclops rubellus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Monospilus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Oithona copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Oithona davisae",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Oithona similis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Oithona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Paracyclops chiltoni",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Acartia copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Acartia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Acartiella copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Acartiella sinensis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Calanoida copepodid",4,166.666666666667,16.6067510112912
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Diaptomus copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Diaptomus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Eurytemora carolleeae adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Eurytemora carolleeae copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Osphranticum copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Osphranticum labronectum",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Pseudodiaptomus forbesi adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Pseudodiaptomus forbesi copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Sinocalanus doerrii adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Sinocalanus doerrii copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Skistodiaptomus pallidus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Tortanus copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Tortanus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Alona",1,41.6666666666667,4.15168775282281
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Alonella",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Bosmina",14,583.333333333333,58.1236285395193
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Camptocercus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Ceriodaphnia",2,83.3333333333333,8.30337550564562
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Chydorus",12,500,49.8202530338737
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Daphnia",16,666.666666666667,66.4270040451649
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Diaphanosoma",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Disparalona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Eurycercus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Graptoleberis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Ilyocryptus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Kurzia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Leydigia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Macrothrix",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Moina",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Monospilus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Picripleuroxus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Pleuroxus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Pseudochydorus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Scapholeberis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Sida",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Simocephalus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Harpacticoida",6,250,24.9101265169368
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Americorophium",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Annelida",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Bivalvia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Gastropoda",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Bivalvia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Corophium",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Cumacean",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Fish",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Fish eggs",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Gammarus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Insecta larvae",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Isopod",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Larval Fish",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Mysid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Shrimp",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Gastropoda",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,0.2,"Rotifer",103,38110,5465.15740904824
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,0.2,"Barnacle nauplii",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,0.2,"Copepod nauplii",250,92500,13264.9451675928
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,0.2,"Ostracoda",1,370,53.0597806703713
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Acanthocyclops adult",1,43.5294117647059,6.24232713769074
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Acanthocyclops copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Cyclopoida adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Cyclopoida copepodid",155,6747.05882352941,967.560706342065
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Diacyclops thomasi",2,87.0588235294118,12.4846542753815
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Ectocyclops phaleratus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Eucyclops pectinifer",1,43.5294117647059,6.24232713769074
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Limnoithona copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Limnoithona sinensis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Limnoithona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Limnoithona tetraspina",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Mesocyclops edax",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Microcyclops rubellus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Monospilus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Oithona copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Oithona davisae",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Oithona similis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Oithona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Paracyclops",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Acartia copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Acartia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-31,NA,"Tow",972400,973017,617,6.97326666875216,74,1.7,"Acartiella copepodid",0,0,0
