Taxon,Life_History_Stage,Taxonomic level,Class,Order,Family,Genus,Species
Bivalvia veliger,Larva,Class,Bivalvia,,,,
Bosmina,Undifferentiated,Genus,Branchiopoda,Cladocera,Bosminidae,Bosmina,
Brachionus,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Brachionus,
Calanoida,Undifferentiated,Order,Copepoda,Calanoida,,,
Calanoida adult,Adult,Order,Copepoda,Calanoida,,,
Calanoida copepodid,Juvenile,Order,Copepoda,Calanoida,,,
Calanoida nauplii,Larva,Order,Copepoda,Calanoida,,,
Camptocercus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,
Ceriodaphnia,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,
Chironomidae adult,Adult,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae emergent,Adult,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae larvae,Larva,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae pupae,Larva,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chydoridae,Undifferentiated,Family,Branchiopoda,Cladocera,Chydoridae,,
Chydorus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Chydorus,
Cladocera,Undifferentiated,Order,Branchiopoda,Cladocera,,,
Cladocera nauplii,Larva,Order,Branchiopoda,Cladocera,,,
Copepod nauplii,Larva,Class,Copepoda,,,,
Copepoda,Undifferentiated,Class,Copepoda,,,,
Copepoda copepodid,Juvenile,Class,Copepoda,,,,
Copepoda mush,Undifferentiated,Class,Copepoda,,,,
Corixidae,Undifferentiated,Family,Insecta,Hemiptera,Corixidae,,
Corophiidae,Undifferentiated,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophiidae juvenile,Juvenile,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophiidae parts (head),Undifferentiated,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophium,Undifferentiated,Genus,Malacostraca,Amphipoda,Corophiidae,Corophium,
Crab zoea,Larva,Order,Malacostraca,Decapoda,,,
Crangonyx,Undifferentiated,Genus,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,
Crustacea,Undifferentiated,Subphylum,,,,,
Culicidae larvae,Larva,Family,Insecta,Diptera,Culicidae,,
Cumacean,Undifferentiated,Order,Malacostraca,Cumacea,,,
Cumella vulgaris,Undifferentiated,Species,Malacostraca,Cumacea,Nannastacidae,,
Cyclopoida,Undifferentiated,Order,Copepoda,Cyclopoida,,,
Cyclopoida adult,Adult,Order,Copepoda,Cyclopoida,,,
Cyclopoida copepodid,Juvenile,Order,Copepoda,Cyclopoida,,,
Cyclopoida nauplii,Larva,Order,Copepoda,Cyclopoida,,,
Daphnia,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Daphnia,
Daphnia Resting egg,Egg,Genus,Branchiopoda,Cladocera,Daphniidae,Daphnia,
Detritis,NA,NA,,,,,
Diacyclops thomasi,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi
Diacyclops thomasi adult,Adult,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi
Diacyclops thomasi copepodid,Juvenile,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi
Diaphanosoma,Undifferentiated,Genus,Branchiopoda,Cladocera,Sididae,Diaphanosoma,
Diaptomidae,Undifferentiated,Family,Copepoda,Calanoida,Diaptomidae,,
Diaptomidae adult,Adult,Family,Copepoda,Calanoida,Diaptomidae,,
Diaptomidae copepodid,Juvenile,Family,Copepoda,Calanoida,Diaptomidae,,
Diaptomus,Undifferentiated,Genus,Copepoda,Calanoida,Diaptomidae,Diaptomus,
Diaptomus copepodid,Juvenile,Genus,Copepoda,Calanoida,Diaptomidae,Diaptomus,
Digestive material,NA,NA,,,,,
Diptera adult,Adult,Order,Insecta,Diptera,,,
Disparalona,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Disparalona,
Dunhevedia,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Dunhevedia,
Ectocyclops phaleratus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Ectocyclops,Ectocyclops phaleratus
Empty,NA,NA,,,,,
Eogammarus confervicolus,Undifferentiated,Species,Malacostraca,Amphipoda,Gammaridae,Eogammarus,Eogammarus confervicolus
Eogammarus confervicolus juvenile,Juvenile,Species,Malacostraca,Amphipoda,Gammaridae,Eogammarus,Eogammarus confervicolus
Euchlanis,Undifferentiated,Genus,Eurotatoria,Ploima,Euchlanidae,Euchlanis,
Eucyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,
Eucyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,
Eucyclops agilis,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops agilis
Eucyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,
Eucyclops elegans,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops elegans
Eucyclops pectinifer,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops pectinifer
Eucyclops prionophorus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops prionophorus
Eurycercus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Eurycercus,
Eurytemora carolleeae,Undifferentiated,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Eurytemora carolleeae adult,Adult,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Eurytemora carolleeae copepodid,Juvenile,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Eurytemora carolleeae nauplii,Larva,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Fish,Undifferentiated,Class,Actinopterygii,,,,
Fish eggs,Egg,Class,Actinopterygii,,,,
Gammaridae,Undifferentiated,Family,Malacostraca,Amphipoda,Gammaridae,,
Gammaridae juvenile,Juvenile,Family,Malacostraca,Amphipoda,Gammaridae,,
Gammarus,Undifferentiated,Genus,Malacostraca,Amphipoda,Gammaridae,Gammarus,
Gammarus daiberi,Undifferentiated,Species,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus daiberi
Gastropoda,Undifferentiated,Class,Gastropoda,,,,
Gastropoda veliger,Larva,Class,Gastropoda,,,,
Gnorimosphaeroma,,,,,,,
Graptoleberis,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Graptoleberis,
Halicyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,
Halicyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,
Hard pellet/ can't ID,NA,NA,,,,,
Harpacticoida,Undifferentiated,Order,Copepoda,Harpacticoida,,,
Harpacticoida adult,Adult,Order,Copepoda,Harpacticoida,,,
Hemiptera,Undifferentiated,Order,Insecta,Hemiptera,,,
Hemiptera nymph,Juvenile,Order,Insecta,Hemiptera,,,
Hesperodiaptomus franciscanus,Undifferentiated,Species,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus,Hesperodiaptomus franciscanus
Hyalella,Undifferentiated,Genus,Malacostraca,Amphipoda,Hyalellidae,Hyalella,
Hyalella azteca,Undifferentiated,Species,Malacostraca,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca
Hydrachnidae,Undifferentiated,Family,Arachnida,Hydrachnidia,,,
Hydrachnidia,Undifferentiated,Family,Arachnida,Hydrachnidia,,,
Hydroptilidae larvae,Larva,Family,Insecta,Trichoptera,Hydroptilidae,,
Ilyocryptus,Undifferentiated,Genus,Branchiopoda,Cladocera,Ilyocryptidae,Ilyocryptus,
Insect parts,NA,Class,Insecta,,,,
Insecta,Undifferentiated,Class,Insecta,,,,
Insecta adult,Adult,Class,Insecta,,,,
Insecta larvae,Larva,Class,Insecta,,,,
Isopod,Undifferentiated,Order,Malacostraca,Isopoda,,,
Keratella,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Keratella,
Kurzia,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Kurzia,
Larval Fish,Larva,Class,Actinopterygii,,,,
Lecane,Undifferentiated,Genus,Eurotatoria,Ploima,Lecanidae,Lecane,
Lepadella,Undifferentiated,Genus,Eurotatoria,Ploima,Lepadellidae,Lepadella,
Leydigia,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Leydigia,
Limnoithona,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,
Limnoithona adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,
Limnoithona copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,
Limnoithona sinensis,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis
Limnoithona sinensis adult,Adult,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis
Limnoithona tetraspina,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina
Limnoithona tetraspina adult,Adult,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina
Loose copepod eggs,Egg,Class,Copepoda,,,,
Macrocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,
Macrocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,
Macrocyclops albidus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,Macrocyclops albidus
Macrocyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,
Macrothrix,Undifferentiated,Genus,Branchiopoda,Cladocera,Macrothricidae,Macrothrix,
Maeotias marginata (large),Undifferentiated,Species,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,Maeotias marginata
Mesocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,
Mesocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,
Mesocyclops edax,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,Mesocyclops edax
Microcyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,
Microcyclops rubellus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,Microcyclops rubellus
Moina,Undifferentiated,Genus,Branchiopoda,Cladocera,Moinidae,Moina,
Monospilus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Monospilus,
Monospilus dispar,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Monospilus,Monospilus dispar
Munnidae,,,,,,,
Mysid,Undifferentiated,Order,Malacostraca,Mysida,Mysidae,,
Nematoda,Undifferentiated,Phylum,,,,,
Nippoleucon hinumensis,Undifferentiated,Species,Malacostraca,Cumacea,Leuconidae,Nippoleucon,Nippoleucon hinumensis
Notholca,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Notholca,
Oithona,Undifferentiated,Genus,Copepoda,Cyclopoida,Oithonidae,Oithona,
Oithona copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Oithonidae,Oithona,
Oithona davisae,Undifferentiated,Species,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona davisae
Oithona similis,Undifferentiated,Species,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona similis
Osphranticum copepodid,Juvenile,Genus,Copepoda,Calanoida,Centropagidae,Osphranticum,
Osphranticum labronectum,Undifferentiated,Species,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum
Osphranticum labronectum adult,Adult,Species,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum
Ostracoda,Undifferentiated,Order,Ostracoda,,,,
Paracyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,
Paracyclops chiltoni,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,Paracyclops chiltoni
Paracyclops poppei,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,Paracyclops poppei
Picripleuroxus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Picripleuroxus,
Plant material,NA,NA,,,,,
Plationus,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Plaionus,
Platyias,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Platyias,
Pleuroxus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Pleuroxus,
Polyarthra,Undifferentiated,Genus,Eurotatoria,Ploima,Synchaetidae,Polyarthra,
Polychaete larvae,Larva,Class,Polychaeta,,,,
Pseudochydorus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Pseudochydorus,
Pseudodiaptomus forbesi,Undifferentiated,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus forbesi adult,Adult,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus forbesi copepodid,Juvenile,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus forbesi nauplii,Larva,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi
Pseudodiaptomus nauplii,Larva,Genus,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,
Rotifer,Undifferentiated,Phylum,,,,,
Scapholeberis,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Scapholeberis,
Shrimp,Undifferentiated,Class,Malacostraca,Decapoda,,,
Sida,Undifferentiated,Genus,Branchiopoda,Cladocera,Sididae,Sida,
Simocephalus,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Simocephalus,
Sinocalanus adult,Adult,Genus,Copepoda,Calanoida,Centropagidae,Sinocalanus,
Sinocalanus doerrii adult,Adult,Species,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii
Sinocalanus doerrii copepodid,Juvenile,Species,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii
Sinocalanus nauplii,Larva,Genus,Copepoda,Calanoida,Centropagidae,Sinocalanus,
Skistodiaptomus pallidus,Undifferentiated,Species,Copepoda,Calanoida,Diaptomidae,Skistodiaptomus,Skistodiaptomus pallidus
Small rock,NA,NA,,,,,
Sphaeromatidae,Undifferentiated,Family,Malacostraca,Isopoda,Sphaeromatidae,,
Tanaidacea,Undifferentiated,Class,Malacostraca,Tanaidacea,,,
Tardigrada,Undifferentiated,Phylum,,,,,
Testudinella,Undifferentiated,Genus,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,
Tortanus,Undifferentiated,Genus,Copepoda,Calanoida,Tortanidae,Tortanus,
Tortanus copepodid,Juvenile,Genus,Copepoda,Calanoida,Tortanidae,Tortanus,
Trichocerca,Undifferentiated,Genus,Eurotatoria,Ploima,Trichocercidae,Trichocerca,
Trichotria,Undifferentiated,Genus,Insecta,Trichoptera,Trichotriidae,Trichotria,
Tricoptera larvae,Larva,Order,Insecta,Trichoptera,,,
Tropocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,
Tropocyclops prasinus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,Tropocyclops prasinus
Turbellaria,Undifferentiated,Class,Turbellaria,,,,
Unidentified eggs,Egg,NA,,,,,
Elmidae,Undifferentiated,Family,Insecta,Coleoptera,Elmidae,,
Hydroptilidae pupae,Larva,Family,Insecta,Trichoptera,Hydroptilidae,,
Insect pupae,Larva,Class,Insecta,,,,
Leptoceridae larvae,Larva,Family,Insecta,Trichoptera,Leptoceridae,,
Munnidae,Undifferentiated,Family,Malacostraca,Isopoda,Munnidae,,
Naididae,Undifferentiated,Family,Polychaeta,Tubificida,Naididae,,
Polycentropodidae larvae,Larva,Family,Insecta,Trichoptera,Polycentropodidae,,
Trichoptera adult,Adult,Order,Insecta,Trichoptera,,,
