"Study","Year","Date","Site","Treatment","Cage","Tag","Fullness","Digestion","Total Contents Weight","Taxon","Count","Taxa Weight","Comments"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N18",5,5,0.0011,"Americorophium",3,NA,"stomach cut, contents spilling  out"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N18",5,5,0.0011,"Corophiidae juvenile",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N18",5,5,0.0011,"Limnoithona adult",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N22",3,5,0,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N22",3,5,0,"Tanaidacea",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N20",1,1,0,"Empty",0,NA,"missing half of stomach"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N4",2,1,0,"Animal parts",NA,NA,"HALF OF STOMACH"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N11",1,1,0,"Empty",0,NA,"HALF OF STOMACH"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N15",2,1,0,"Plant material",NA,NA,"STOMACH BURST"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Corophiidae juvenile",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Gammaridae",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Acanthocyclops adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Pseudodiaptomus forbesi adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Limnoithona adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Plant material",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Americorophium spinicorne",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N26",6,5,0.0035,"Tanaidacea",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N22",2,2,0,"Arthropoda parts",NA,NA,"limbs look like crustaceans"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Ostracoda",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Eucyclops adult",2,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Macrocyclops adult",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Pseudodiaptomus forbesi adult",8,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N10",5,5,3e-04,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N19",NA,6,0,"Pseudodiaptomus forbesi adult",5,NA,"Stomach cut unevenly. Tried my best to put parts together.  Collected fallen diet specimens"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Chironomidae pupae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Chironomidae larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Pseudodiaptomus forbesi adult",9,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N34",5,5,5e-04,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N21",3,5,3e-04,"Pseudodiaptomus forbesi adult",9,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Chironomidae larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Pseudodiaptomus forbesi adult",13,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Calanoida",2,NA,"digested"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N25",4,5,0.001,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N24",NA,5,3e-04,"Pseudodiaptomus forbesi adult",6,NA,"Missing stomach entirely. Counted and weighed specimens in vial.  Cannot tell how full the stomach would be"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N24",NA,5,3e-04,"Macrocyclops copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N22",1,1,0,"Empty",0,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Camptocercus",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Eucyclops adult",2,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N31",3,5,0,"Animal parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Ostracoda",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Chironomidae larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Chironomidae pupae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Macrocyclops adult",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Eucyclops adult",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Amphipoda",1,NA,"Juvenile and half a body"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N4",5,5,0.0012,"Pseudodiaptomus forbesi adult",8,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Acanthocyclops copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Eurycercus",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Eucyclops adult",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Pseudodiaptomus forbesi adult",17,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Animal parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N6",4,5,0.001,"Plant material",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Gammaridae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Pseudodiaptomus forbesi adult",27,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"3","C3N16",5,5,0.0023,"Animal parts",NA,NA,"cannot ID"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N3",6,3,8e-04,"Corophiidae juvenile",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N3",6,3,8e-04,"Pseudodiaptomus forbesi adult",12,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N3",6,3,8e-04,"Amphipoda parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Chironomidae larvae",3,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Copepoda copepodid",1,NA,"digested"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Chironomidae pupae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N5",5,5,8e-04,"Pseudodiaptomus forbesi adult",8,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Chironomidae pupae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Acanthocyclops adult",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Pseudodiaptomus forbesi adult",25,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N7",5,5,0.0015,"Amphipoda parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N8",3,5,3e-04,"Pseudodiaptomus forbesi",9,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N8",3,5,3e-04,"Insect parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Hyalella azteca",2,NA,"Stomach was ripped"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Pseudodiaptomus forbesi adult",19,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N10",5,5,0.0015,"Camptocercus",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N16",5,5,7e-04,"Gammaridae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N16",5,5,7e-04,"Chironomidae larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N16",5,5,7e-04,"Pseudodiaptomus forbesi adult",12,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Simocephalus",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Pseudodiaptomus forbesi adult",6,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Amphipoda",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N4",3,4,5e-04,"Tricoptera larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Pseudodiaptomus forbesi adult",3,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Camptocercus",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Chydorus",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Diacyclops thomasi copepodid",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Ostracoda",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Plant material",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Chironomidae larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N1",3,4,5e-04,"Animal parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N5",3,2,0,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N5",3,2,0,"Calanoida",5,NA,"parts missing to id"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N5",3,2,0,"Pseudodiaptomus forbesi adult",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N9",1,1,0,"Empty",0,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Ceriodaphnia",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Diaphanosoma",2,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Amphipoda",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N10",4,5,3e-04,"Macrocyclops copepodid",3,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N21",3,5,0,"Chironomidae larvae",1,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N21",3,5,0,"Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N21",3,5,0,"Animal parts",NA,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Chironomidae larvae",4,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Pseudodiaptomus forbesi adult",6,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Amphipoda",1,NA,"too digested to ID"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N13",3,5,9e-04,"Cladocera",1,NA,"too digested to ID"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N23",1,1,0,"Empty",0,NA,NA
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"1","C1N25",6,2,0.0014,"Insect parts",NA,NA,"Lots of molts but no discernable animals to count"
"SMSCG",2024,2024-09-26,"Rio Vista",NA,"2","C2N2",NA,NA,NA,"Empty",NA,NA,"Missing stomach, no animals or digested animal parts found in vial"
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RL25",4,4,0.0011,"Americorophium spinicorne adult",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RL25",4,4,0.0011,"Acanthocyclops adult",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RL45",5,5,0.0053,"Americorophium spinicorne adult",2,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RC01",3,5,7e-04,"Pseudodiaptomus forbesi adult",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RF42",4,6,0.0033,"Americorophium spinicorne adult",2,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RF42",4,6,0.0033,"Pseudodiaptomus forbesi adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI08",4,4,0.002,"Acanthocyclops adult",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RD54",2,6,5e-04,"Pseudodiaptomus forbesi adult",2,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RD54",2,6,5e-04,"Acanthocyclops adult",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RD35",5,5,0.0037,"Americorophium spinicorne adult",2,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RA96",5,6,0.0034,"Americorophium spinicorne adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Acanthocyclops adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Harpacticoida adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Acanthocyclops adult",4,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Eurytemora carolleeae adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RH89",3,5,0.00039999999999999,"Eurytemora carolleeae adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RH89",3,5,0.00039999999999999,"Acanthocyclops adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Acanthocyclops adult",6,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Acanthocyclops adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Eurytemora carolleeae adult",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Eurytemora carolleeae adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Acanthocyclops adult",5,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Harpacticoida adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Eurytemora carolleeae adult",5,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Acanthocyclops adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Eurytemora carolleeae adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Acanthocyclops adult",6,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Eurytemora carolleeae adult",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Acanthocyclops adult",39,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Diaptomidae adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Eurytemora carolleeae adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Acanthocyclops adult",1,NA,"~30% of diet was plant detritus"
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Eurytemora carolleeae adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Diaptomidae adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Acanthocyclops adult",10,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Eurytemora carolleeae adult",5,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Sinocalanus doerrii adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Diaptomidae adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Acanthocyclops adult",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Eurytemora carolleeae adult",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN93",5,5,0.0052,"Acanthocyclops adult",13,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN93",5,5,0.0052,"Eurytemora carolleeae adult",6,NA,NA
