"Study","Site","Year","Month","Date","Enclosure","Treatment","FishID","Tag","Error","Empty","Fullness","Digestion","FullStomachWeight","EmptyStomachWeight","StomachWeightDifference","TotalContentsWeight","Taxon","Count","TaxaWeight","Comments"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N10","C4N10","FALSE","N",5,5,"0.0092","0.0065",0.0027,6e-04,"Acanthocyclops adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N10","C4N10","FALSE","N",5,5,"0.0092","0.0065",0.0027,6e-04,"Acanthocyclops copepodid",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N10","C4N10","FALSE","N",5,5,"0.0092","0.0065",0.0027,6e-04,"Amphipoda",1,NA,"too digested"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N10","C4N10","FALSE","N",5,5,"0.0092","0.0065",0.0027,6e-04,"Pseudodiaptomus forbesi adult",6,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N26","C4N26","FALSE","N",4,5,"0.012","0.0094",0.0026,0.0011,"Acanthocyclops adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N26","C4N26","FALSE","N",4,5,"0.012","0.0094",0.0026,0.0011,"Amphipoda",2,NA,"too digested"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N26","C4N26","FALSE","N",4,5,"0.012","0.0094",0.0026,0.0011,"Pseudodiaptomus forbesi adult",16,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N4","C4N4","FALSE","N",5,5,"0.0387","0.0162",0.0225,0.0092,"Gammaridae",9,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N4","C4N4","FALSE","N",5,5,"0.0387","0.0162",0.0225,0.0092,"Hyalella azteca",3,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N4","C4N4","FALSE","N",5,5,"0.0387","0.0162",0.0225,0.0092,"Pseudodiaptomus forbesi adult",3,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N40","C4N40","FALSE","N",2,6,"0.0128","0.0085",0.0043,NA,"Pseudodiaptomus forbesi adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"4","Scrub","2023_BFS_C4N41","C4N41","FALSE","N",2,5,"0.0118","0.0086",0.0032,9e-04,"Gammaridae",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N2","C5N2","FALSE","N",6,3,"0.0128","0.0069",0.0059,0.0021,"Plant material",0,NA,"mostly this, not sure if aquatic plant or a bunch of fillamentus algae types"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N2","C5N2","FALSE","N",6,3,"0.0128","0.0069",0.0059,0.0021,"Pseudodiaptomus forbesi adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N3","C5N3","FALSE","N",5,1,"0.0211","0.0106",0.0105,0.0032,"Plant material",0,NA,"not sure if aquatic plant or a bunch of fillamentus algae types"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N4","C5N4","FALSE","N",2,6,"0.0074","0.0049",0.0025,NA,"Limnoithona tetraspina adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Aphididae (winged) adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Cumella vulgaris",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Eurytemora carolleeae adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Harpacticoida",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Limnoithona tetraspina adult",82,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Plant material",0,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Pseudodiaptomus forbesi adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N5","C5N5","FALSE","N",5,5,"0.0086","0.0054",0.0032,7e-04,"Unidentified eggs",1,NA,"resemble amphipoda"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N6","C5N6","FALSE","N",3,6,"0.0136","0.0077",0.0059,NA,"Limnoithona tetraspina adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N6","C5N6","FALSE","N",3,6,"0.0136","0.0077",0.0059,NA,"Pseudodiaptomus forbesi adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N6","C5N6","FALSE","N",3,6,"0.0136","0.0077",0.0059,NA,"Tanaidacea",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N6","C5N6","FALSE","N",3,6,NA,NA,NA,NA,"Calanoida nauplii",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N6","C5N6","FALSE","N",3,6,NA,NA,NA,NA,"Cyclopoida nauplii",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"5","Flip","2023_BFS_C5N6","C5N6","FALSE","N",3,6,NA,NA,NA,NA,"Pseudodiaptomus forbesi nauplii",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N12","C6N12","FALSE","N",5,5,"0.0148","0.0065",0.0083,0.0039,"Corophiidae juvenile",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N12","C6N12","FALSE","N",5,5,"0.0148","0.0065",0.0083,0.0039,"Cumacean",1,NA,"too digested"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N12","C6N12","FALSE","N",5,5,"0.0148","0.0065",0.0083,0.0039,"Gammaridae",4,NA,"Eogammarus confervicolus"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N12","C6N12","FALSE","N",5,5,"0.0148","0.0065",0.0083,0.0039,"Harpacticoida",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N12","C6N12","FALSE","N",5,5,"0.0148","0.0065",0.0083,0.0039,"Limnoithona tetraspina adult",38,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N12","C6N12","FALSE","N",5,5,"0.0148","0.0065",0.0083,0.0039,"Macrocyclops copepodid",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N2","C6N2","FALSE","N",3,5,"0.004","0.0037",3e-04,2e-04,"Animal parts",0,NA,"too digested to ID"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N2","C6N2","FALSE","N",3,5,"0.004","0.0037",3e-04,2e-04,"Cyclopoida",9,NA,"just the heads"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N2","C6N2","FALSE","N",3,5,"0.004","0.0037",3e-04,2e-04,"Harpacticoida",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N2","C6N2","FALSE","N",3,5,"0.004","0.0037",3e-04,2e-04,"Limnoithona tetraspina adult",37,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Americorophium spinicorne",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Corophiidae juvenile",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Gammaridae",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Harpacticoida",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Limnoithona tetraspina adult",96,NA,"with eggs"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Plant material",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N22","C6N22","FALSE","N",5,5,"0.0082","0.0058",0.0024,6e-04,"Unidentified eggs",1,NA,"resemble amphipoda"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N41","C6N41","FALSE","N",2,6,"0.0178","0.0126",0.0052,0.0015,"Gammaridae",1,NA,"Eogammarus confervicolus"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N41","C6N41","FALSE","N",2,6,"0.0178","0.0126",0.0052,0.0015,"Limnoithona tetraspina adult",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N41","C6N41","FALSE","N",2,6,"0.0178","0.0126",0.0052,0.0015,"Nippoleucon hinumensis",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Cumella vulgaris",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Eurytemora carolleeae adult",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Eurytemora carolleeae copepodid",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Gammaridae",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Harpacticoida",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Limnoithona tetraspina adult",100,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"6","Scrub","2023_BFS_C6N46","C6N46","FALSE","N",5,5,"0.0082","0.0037",0.0045,9e-04,"Pseudodiaptomus forbesi adult",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N13","C7N13","FALSE","N",6,5,"0.0127","0.0066",0.0061,0.003,"Corophiidae juvenile",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N13","C7N13","FALSE","N",6,5,"0.0127","0.0066",0.0061,0.003,"Cumella vulgaris",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N13","C7N13","FALSE","N",6,5,"0.0127","0.0066",0.0061,0.003,"Eurytemora carolleeae adult",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N13","C7N13","FALSE","N",6,5,"0.0127","0.0066",0.0061,0.003,"Harpacticoida",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N13","C7N13","FALSE","N",6,5,"0.0127","0.0066",0.0061,0.003,"Plant material",0,NA,"mostly this, not sure if aquatic plant or a bunch of fillamentus algae types"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N18","C7N18","FALSE","N",2,1,"0.0082","0.007",0.0012,NA,"Plant material",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Corophiidae juvenile",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Cumella vulgaris",3,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Harpacticoida",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Ilyocryptus",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Limnoithona tetraspina adult",6,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Macrocyclops adult",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Macrocyclops copepodid",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N24","C7N24","FALSE","N",2,5,"0.0212","0.0112",0.01,5e-04,"Tanaidacea",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N43","C7N43","FALSE","Y",1,1,"0.0073","0.0073",0,0,"None",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N6","C7N6","FALSE","N",4,5,"0.0155","0.0125",0.003,9e-04,"Corophiidae juvenile",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N6","C7N6","FALSE","N",4,5,"0.0155","0.0125",0.003,9e-04,"Gammaridae",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"7","Flip","2023_BFS_C7N6","C7N6","FALSE","N",4,5,NA,NA,NA,9e-04,"Copepod nauplii",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N20","C8N20","FALSE","N",3,3,"0.0113","0.0086",0.0027,NA,"Plant material",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N20","C8N20","FALSE","N",3,3,NA,NA,NA,NA,"Cyclopoida nauplii",2,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N25","C8N25","FALSE","N",6,4,"0.0199","0.0069",0.013,0.0086,"Corophiidae juvenile",1,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N25","C8N25","FALSE","N",6,4,"0.0199","0.0069",0.013,0.0086,"Gammaridae",4,NA,"Eogammarus confervicolus"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N25","C8N25","FALSE","N",6,4,"0.0199","0.0069",0.013,0.0086,"Plant material",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N26","C8N26","FALSE","N",4,5,"0.0187","0.0122",0.0065,0.0042,"Amphipoda parts",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N26","C8N26","FALSE","N",4,5,"0.0187","0.0122",0.0065,0.0042,"Gammaridae",4,NA,"Eogammarus confervicolus"
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N26","C8N26","FALSE","N",4,5,"0.0187","0.0122",0.0065,0.0042,"Plant material",0,NA,NA
"Biofouling Study","Suisun Marsh","2023","10",2023-10-10,"8","Scrub","2023_BFS_C8N26","C8N26","FALSE","N",4,5,"0.0187","0.0122",0.0065,0.0042,"Pseudodiaptomus forbesi adult",1,NA,NA
