Location,Date,Method,TowDistance,SetTime,FlowMeterStart,FlowMeterEnd,Rotations,MeshSize,RingSize,TotalVolume,SubsampledVolume,Taxon,Count,nSubsamples,TaxonomicGrouping,BiomassIndex,TotalBiomass
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,0.4,Ostracods,1,1,Microzoo,0.6,0.6
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acanthocyclops vernalis adult,1,1,Cyclopoid,3.36,3.36
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acanthocyclops vernalis copepodid,0,,Cyclopoid,1.68,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cyclopoid adult,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cyclopoid copepodid,94,1,Cyclopoid,1.68,157.92
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diacyclops thomasi,1,1,Cyclopoid,3.36,3.36
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ectocyclops phaleratus,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eucyclops elegans,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eucyclops ,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona copepodid,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona sinensis,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona spp.,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona tetraspina,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Mesocyclops edax,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Macrocyclops albidus,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Microcyclops rubellus,3,1,Cyclopoid,3.36,10.08
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Monospilus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona copepodid,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona davisae,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona similis,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona spp. ,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Paracyclops chiltoni,0,,Cyclopoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartia copepodid,0,,Calanoid,1.301,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartia spp.,0,,Calanoid,0,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartiella copepodid,0,,Calanoid,1.162,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartiella sinensis ,0,,Calanoid,2.666,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Calanoid copepodid,7,1,Calanoid,1.5,10.5
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaptomus copepodid,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaptomus spp.,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eurytemora affinis adult,1,1,Calanoid,3.068,3.068
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eurytemora affinis copepodid,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Osphranticum copepodid,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Osphranticum labronectum,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pseudodiaptomus forbesi adult,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pseudodiaptomus forbesi copepodid,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Sinocalanus doerrii adult ,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Sinocalanus doerrii copepodid,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Skistodiaptomus pallidus,5,1,Calanoid,3,15
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Tortanus copepodid,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Tortanus spp. ,0,,Calanoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Alona,1,1,Cladocera,0.6,0.6
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Alonella,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Bosmina,38,1,Cladocera,0.6,22.8
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Camptocercus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ceriodaphnia,29,1,Cladocera,1.4,40.6
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Chydorus,16,1,Cladocera,0.6,9.6
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Daphnia,10,1,Cladocera,4,40
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaphanosoma,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Disparalona,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eurycercus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Graptoleberis,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ilyocryptus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Kurzia,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Leydigia,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Macrothrix,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Moina,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Monospilus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Picripleuroxus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pleuroxus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pseudochydorus,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Scaphloberis,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Sida,0,,Cladocera,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Simocephalus,7,1,Cladocera,1,7
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Harpacticoids,0,,Harpacticoid,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Americorophium,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Annelid,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Baby Clam,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Baby snail,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Clam,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Corophium spp.,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cumacean,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Fish,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Fish eggs,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Gammarus spp.,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Insect larvae,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Isopod,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Larval Fish,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Mysids,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Shrimp ,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,5.4,Snail,0,,Macrozoo,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,0.2,Rotifers,80,1,Microzoo,0.12,9.6
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,0.2,Barnacles ,0,,Microzoo,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,0.2,Copepod nauplii ,241,1,Microzoo,0.1,24.1
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,0.2,Ostracods,0,,Microzoo,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acanthocyclops vernalis adult,6,1,Cyclopoid,3.36,20.16
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acanthocyclops vernalis copepodid,0,,Cyclopoid,1.68,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Cyclopoid adult,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Cyclopoid copepodid,157,1,Cyclopoid,1.68,263.76
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diacyclops thomasi,1,1,Cyclopoid,3.36,3.36
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Ectocyclops phaleratus,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eucyclops ,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona copepodid,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona sinensis,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona spp.,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona tetraspina,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Macrocyclops albidus,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Mesocyclops edax,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Microcyclops rubellus,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Monospilus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona copepodid,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona davisae,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona similis,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona spp. ,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Paracyclops chiltoni,0,,Cyclopoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartia copepodid,0,,Calanoid,1.301,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartia spp.,0,,Calanoid,0,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartiella copepodid,0,,Calanoid,1.162,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartiella sinensis ,0,,Calanoid,2.666,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Calanoid copepodid,4,1,Calanoid,1.5,6
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diaptomus copepodid,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diaptomus spp.,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eurytemora affinis adult,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eurytemora affinis copepodid,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Osphranticum copepodid,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Osphranticum labronectum,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Pseudodiaptomus forbesi adult,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Pseudodiaptomus forbesi copepodid,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Sinocalanus doerrii adult ,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Sinocalanus doerrii copepodid,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Skistodiaptomus pallidus,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Tortanus copepodid,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Tortanus spp. ,0,,Calanoid,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Alona,1,1,Cladocera,0.6,0.6
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Alonella,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Bosmina,14,1,Cladocera,0.6,8.4
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Camptocercus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Ceriodaphnia,2,1,Cladocera,1.4,2.8
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Chydorus,12,1,Cladocera,0.6,7.2
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Daphnia,16,1,Cladocera,4,64
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diaphanosoma,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Disparalona,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eurycercus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Graptoleberis,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Ilyocryptus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Kurzia,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Leydigia,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Macrothrix,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Moina,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Monospilus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Picripleuroxus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Pleuroxus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Pseudochydorus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Scaphloberis,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Sida,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Simocephalus,0,,Cladocera,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Harpacticoids,6,1,Harpacticoid,1,6
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Americorophium,0,,Macrozoo,,0
RV,1/29/2019,Tow,NA,2,971100,971988,888,50,50,75,1.8,Annelid,0,,Macrozoo,,0
