SiteName,Date,Method,TowDistance_m,SetTime_min,FlowMeterBegin,FlowMeterEnd,Rotations,MeshSize,RingSize_cm,TotalVolume_ml,Subsampled_ml,ID,Count,#ofSubsample,Taxa,ugC.ind,Total.Biomass,X19,QC'ed by,Date_1,RingSize_m,distance,volumesampled,samplecount,ind_m3,samplebiomass,bio_m3,radius
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Macrocyclops albidus,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Microcyclops rubellus,3,1,Cyclopoid,3.36,10.08,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,62.22222222222222,19.05006953378294,209.06666666666666,64.00823363351068,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Monospilus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona copepodid,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona davisae,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona similis,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona spp.,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Paracyclops chiltoni,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartia copepodid,0,NA,Calanoid,1.301,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartia spp.,0,NA,Calanoid,0,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartiella copepodid,0,NA,Calanoid,1.162,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartiella sinensis,0,NA,Calanoid,2.666,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Calanoid copepodid,7,1,Calanoid,1.5,10.5,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,145.1851851851852,44.45016224549353,217.77777777777777,66.67524336824029,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaptomus copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaptomus spp.,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eurytemora affinis adult,1,1,Calanoid,3.068,3.068,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,20.74074074074074,6.350023177927647,63.632592592592594,19.48187110988202,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eurytemora affinis copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Osphranticum copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Osphranticum labronectum,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pseudodiaptomus forbesi adult,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pseudodiaptomus forbesi copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Sinocalanus doerrii adult,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Sinocalanus doerrii copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Skistodiaptomus pallidus,5,1,Calanoid,3,15,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,103.7037037037037,31.75011588963823,311.1111111111111,95.2503476689147,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Tortanus copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Tortanus spp.,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Alona,1,1,Cladocera,0.6,0.6,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,20.74074074074074,6.350023177927647,12.444444444444445,3.810013906756588,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Alonella,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Bosmina,38,1,Cladocera,0.6,22.8,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,788.1481481481482,241.30088076125057,472.8888888888889,144.78052845675035,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Camptocercus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ceriodaphnia,29,1,Cladocera,1.4,40.6,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,601.4814814814815,184.15067215990177,842.0740740740741,257.8109410238625,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Chydorus,16,1,Cladocera,0.6,9.6,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,331.85185185185185,101.60037084684235,199.11111111111111,60.96022250810541,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Daphnia,10,1,Cladocera,4,40,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,207.4074074074074,63.50023177927646,829.6296296296296,254.00092711710585,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaphanosoma,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Disparalona,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eurycercus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Graptoleberis,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ilyocryptus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Kurzia,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Leydigia,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Macrothrix,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Moina,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Monospilus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Picripleuroxus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pleuroxus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Pseudochydorus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Scaphloberis,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Sida,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Simocephalus,7,1,Cladocera,1,7,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,145.1851851851852,44.45016224549353,145.1851851851852,44.45016224549353,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Harpacticoids,0,NA,Harpacticoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Americorophium,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Annelid,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Baby Clam,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Baby snail,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Clam,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Corophium spp.,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cumacean,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Fish,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Fish eggs,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Gammarus spp.,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Insect larvae,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Isopod,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Larval Fish,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Mysids,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Shrimp,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Snail,0,NA,Macrozoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,0.2,Rotifers,80,1,Microzoo,0.12,9.6,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,3e4,2989.215182032422,3600,358.70582184389065,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,0.2,Barnacles,0,NA,Microzoo,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,0.2,Copepod nauplii,241,1,Microzoo,0.1,24.1,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,90375,9005.010735872671,9037.5,900.5010735872671,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,0.2,Ostracods,0,NA,Microzoo,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acanthocyclops vernalis adult,6,1,Cyclopoid,3.36,20.16,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,250,24.91012651693685,840,83.69802509690781,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acanthocyclops vernalis copepodid,0,NA,Cyclopoid,1.68,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Cyclopoid adult,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Cyclopoid copepodid,157,1,Cyclopoid,1.68,263.76,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,6541.666666666666,651.8149771931809,10989.999999999998,1095.0491616845438,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diacyclops thomasi,1,1,Cyclopoid,3.36,3.36,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,41.666666666666664,4.151687752822808,140,13.949670849484637,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Ectocyclops phaleratus,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eucyclops,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona copepodid,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona sinensis,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona spp.,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Limnoithona tetraspina,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Macrocyclops albidus,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Mesocyclops edax,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Microcyclops rubellus,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Monospilus,0,NA,Cladocera,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona copepodid,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona davisae,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona similis,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Oithona spp.,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Paracyclops chiltoni,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartia copepodid,0,NA,Calanoid,1.301,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartia spp.,0,NA,Calanoid,0,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartiella copepodid,0,NA,Calanoid,1.162,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Acartiella sinensis,0,NA,Calanoid,2.666,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Calanoid copepodid,4,1,Calanoid,1.5,6,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,166.66666666666666,16.606751011291234,250,24.91012651693685,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diaptomus copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Diaptomus spp.,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eurytemora affinis adult,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Eurytemora affinis copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Osphranticum copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Osphranticum labronectum,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Pseudodiaptomus forbesi adult,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Pseudodiaptomus forbesi copepodid,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
RV,2019-01-29,Tow,NA,2,971100,971988,888,50,50,75,1.8,Sinocalanus doerrii adult,0,NA,Calanoid,NA,0,NA,TJ,12/19/2019,0.5,51.1133311133311,10.036079095383977,0,0,0,0,1
